drydown_event_id,Van Genuchten R2,Exponential Decay R2,Linear Regression R2,Hybrid Model R2,Best Model
664,-0.0897230465919463,0.07095720938718031,0.07096859694129565,0.070957211930604,Linear Regression
665,0.0033017865057849427,0.14060107084641482,0.14061682651642538,0.14060107599073168,Linear Regression
666,0.9896088368544974,0.9952643398381338,0.9697107997257605,0.9952648631063534,Hybrid Model
667,-0.06166645558079886,0.38724199447289187,0.38727500189526465,0.3872420041872917,Linear Regression
668,-0.0014572231556999604,,0.484915315240517,,Linear Regression
669,-0.008527060709312195,0.3450940264015607,0.3451241485243911,0.3450940357100428,Linear Regression
670,0.029714708798831313,0.014871963766211027,0.014876253538038009,0.014871965080174965,Van Genuchten
671,0.07598687465901799,0.04223199405278533,0.04223986806038238,0.04223199530906063,Van Genuchten
672,0.48436359174235477,,0.467245717246877,,Van Genuchten
673,-0.15839410160749368,0.5551254929364928,0.5551739873289352,0.5551254996157859,Linear Regression
674,-0.050289780722478694,0.13748274132290417,0.13750478352704265,0.13748274286409323,Linear Regression
675,-0.07531744474665025,0.01712504902677925,0.017129690794960184,0.017125050120162855,Linear Regression
676,0.03922039849757397,0.11632552707695643,0.11634120786867863,0.11632553451854877,Linear Regression
677,-0.00965548190996146,0.08977725319030327,0.08978888684476838,0.08977725577560525,Linear Regression
678,0.09878237595304407,0.03838940010716885,0.03839575529835915,0.03838940362555099,Van Genuchten
679,-0.03193433349846053,0.08296556756908835,0.08298015527422808,0.08296557826979534,Linear Regression
680,-0.06265113945843659,0.07133053648469612,0.07133734305142625,0.07133053865849459,Linear Regression
681,0.9911989818942503,0.995290942278434,0.9593859636930808,0.9952916611525399,Hybrid Model
683,-0.00023624448344117255,,0.5657843847886205,,Linear Regression
685,-0.00012341601592869011,0.30677739709415697,0.3068058894982887,0.3067774004914874,Linear Regression
687,-4.7787077071426154e-05,0.1337507828019986,0.13376449918665945,0.13375078350585767,Linear Regression
689,-3.0552355579693824e-05,0.11486186015570377,0.11487657054775224,0.1148618698318653,Linear Regression
691,-0.026733063068864693,0.0067878039117752476,0.006793826511188872,0.006787822862063031,Linear Regression
693,0.7601551797033596,,0.7150024673381017,,Van Genuchten
694,-0.1546185862365883,,0.5803341082096776,,Linear Regression
695,-0.1891076293773586,0.13775566904429615,0.13777758629263703,0.13775566942539608,Linear Regression
696,-0.11747302662414683,0.009046135499857888,0.009050519488770337,0.009046143017018116,Linear Regression
697,-0.03989803723577601,0.013015276501807227,0.013019602007252051,0.013015280483033687,Linear Regression
698,0.06177048798386475,0.1591903792159951,0.1592070148370911,0.15919038182670264,Linear Regression
699,-0.025574748610835085,0.10684371730109199,0.10685483620812386,0.1068437194200913,Linear Regression
700,-0.0565729682743954,0.08102091021310753,0.081029222425406,0.0810209109996679,Linear Regression
701,0.19000151807712617,0.13839758617792952,0.1384119201724625,0.13839759181112188,Van Genuchten
702,0.9938568721504024,0.9971414524664437,0.9620218639724484,0.9971414903348093,Hybrid Model
703,-0.02296220413149963,0.48116360847323425,0.4811986431451244,0.48116361210423053,Linear Regression
704,-0.0027650979711719703,0.3654878261663813,0.365517885258146,0.36548783192244083,Linear Regression
705,0.007427990566784781,0.10835723394259222,0.10837126205245329,0.10835723399006036,Linear Regression
706,0.0072516346191581205,0.055710328947836896,0.05571828957286529,0.05571033092675581,Linear Regression
